Matiere_OF,ORDRE PRODUCTION,PLATEFORME,CODE CREME,DESCRIPTION,MP CODE,MP NAME,BESOIN (KG),WEEK
C207200000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C20720,AMANDE HUILE RAFF.,0.4692,10
C267100000455116,455116,RESS_S450L_S25L,B27401,METVIX CRE,C26710,PEG 40 STEARATE,0.7038,10
C229030000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C22903,DESONIDE MS USP,2.7775,10
C250000000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C25000,METHYL PARABEN,4.444,10
C217000000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C21700,CETYLIQUE ALCOOL,13.332,10
C253000000455182,455182,RESS_1200L_GUERIN,B20213,LOCERYL 0.25% CRE,C25300,NA HYDROXYDE,3.939,10
C264000000455182,455182,RESS_1200L_GUERIN,B20213,LOCERYL 0.25% CRE,C26400,PARAFFINE LIQ110-230,40.4,10
C267100000455182,455182,RESS_1200L_GUERIN,B20213,LOCERYL 0.25% CRE,C26710,PEG 40 STEARATE,30.3,10
C270200000455182,455182,RESS_1200L_GUERIN,B20213,LOCERYL 0.25% CRE,C27020,PHENOXYETHANOL,5.05,10
C283500000455182,455182,RESS_1200L_GUERIN,B20213,LOCERYL 0.25% CRE,C28350,STEARYLIQUE ALCOOL,50.5,10
C287000000455182,455182,RESS_1200L_GUERIN,B20213,LOCERYL 0.25% CRE,C28700,VASELINE BLANCHE,40.4,10
C290100000455182,455182,RESS_1200L_GUERIN,B20213,LOCERYL 0.25% CRE,C29010,AMOROLFINE CHL NV,2.81588,10
C220000000455120,455120,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C22000,CITRIQUE ACIDE ANH,2.222,10
C231500000455182,455182,RESS_1200L_GUERIN,B20213,LOCERYL 0.25% CRE,C23150,EDTA DISODIUM,1.01,10
C264000000453897,453897,RESS_600L,B20100,CALCITRIOL 3PPM POM,C26400,PARAFFINE LIQ110-230,176.75,10
C287500000453897,453897,RESS_600L,B20100,CALCITRIOL 3PPM POM,C28750,VASELINE BLANC VISQ,227.2448,10
C288400000453897,453897,RESS_600L,B20100,CALCITRIOL 3PPM POM,C28840,VITAMINE E,0.0061200000000000004,10
C213620000453897,453897,RESS_600L,B20100,CALCITRIOL 3PPM POM,C21362,CALCITRIOL NVS,0.001212,10
C281000000455093,455093,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C28100,SORBITOL 70% NONCRIS,51.0,10
C219000000455093,455093,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C21900,CIRE AE,127.5,10
C235500000455093,455093,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C23550,GLYCEROL,40.8,10
C242500000455093,455093,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C24250,ISOPROPYL PALMITATE,20.4,10
C210550000455093,455093,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C21055,BENZYLIQUE ALCOOL PHARMA,22.44,10
C253000000455093,455093,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C25300,NA HYDROXYDE,0.0,10
C244000000455093,455093,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C24400,LACTIQUE ACIDE 90%,0.408,10
C250200000455093,455093,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C25020,METRONIDAZOLE,7.65,10
C267100000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C26710,PEG 40 STEARATE,0.7038,10
C273000000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C27300,PROPYL PARABEN,0.02346,10
C256300000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C25630,OLEIQUE ALCOOL,0.2346,10
C250000000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C25000,METHYL PARABEN,0.04692,10
C242000000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C24200,ISOPROPYL MYRISTATE,0.9384,10
C236500000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C23650,GLYCEROL STEARATE AE,1.4076,10
C207200000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C20720,AMANDE HUILE RAFF.,0.4692,10
C235500000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C23550,GLYCEROL,1.4076,10
C231500000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C23150,EDTA DISODIUM,0.2346,10
C207450000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C20745,ARACHIDE HUILE RAFFINEE,0.7038,10
C216600000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C21660,CETOSTEARYLIQUE ALCOOL PE,0.9384,10
C218500000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C21850,CHOLESTEROL,0.2346,10
C291060000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C29106,METHYL 5 AMINOLEVULINATE HCL,4.9266,10
C287100000455117,455117,RESS_S450L_S25L,B27401,METVIX CRE,C28710,VASELINE BLANCHE METVIX,1.6422,10
C205000000455000,455000,RESS_6000L_GOAVEC,B28022,BENZAC AC 10% GEL 1T,C20500,ACRYLATES COPOLYMER,71.4,10
C210050000455000,455000,RESS_6000L_GOAVEC,B28022,BENZAC AC 10% GEL 1T,C21005,BENZOYL PEROXYD HYD ARKEMA,489.09,10
C214600000455000,455000,RESS_6000L_GOAVEC,B28022,BENZAC AC 10% GEL 1T,C21460,CARBOMER 940/POL 980,28.56,10
C230500000455000,455000,RESS_6000L_GOAVEC,B28022,BENZAC AC 10% GEL 1T,C23050,DIOCTYL NA SULFOSUCC,1.785,10
C231500000455000,455000,RESS_6000L_GOAVEC,B28022,BENZAC AC 10% GEL 1T,C23150,EDTA DISODIUM,3.57,10
C235500000455000,455000,RESS_6000L_GOAVEC,B28022,BENZAC AC 10% GEL 1T,C23550,GLYCEROL,142.8,10
C253000000455000,455000,RESS_6000L_GOAVEC,B28022,BENZAC AC 10% GEL 1T,C25300,NA HYDROXYDE,6.426,10
C270500000455000,455000,RESS_6000L_GOAVEC,B28022,BENZAC AC 10% GEL 1T,C27050,POLOXAMER 182,7.14,10
C273500000455000,455000,RESS_6000L_GOAVEC,B28022,BENZAC AC 10% GEL 1T,C27350,PROPYLENE GLYCOL,142.8,10
C278500000455000,455000,RESS_6000L_GOAVEC,B28022,BENZAC AC 10% GEL 1T,C27850,SILICE COLLOIDAL ANH,0.7497,10
C217000000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C21700,CETYLIQUE ALCOOL,13.332,10
C220000000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C22000,CITRIQUE ACIDE ANH,2.222,10
C229030000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C22903,DESONIDE MS USP,2.7775,10
C236500000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C23650,GLYCEROL STEARATE AE,13.332,10
C232000000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C23200,EDTA TETRASODIUM,3.6829650000000003,10
C253000000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C25300,NA HYDROXYDE,0.0,10
C254500000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C25450,NA LAURYL SULFATE,13.332,10
C263000000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C26300,PARAFFINE LIQ 15-25,787.699,10
C273000000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C27300,PROPYL PARABEN,2.222,10
C273500000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C27350,PROPYLENE GLYCOL,277.75,10
C280000000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C28000,SORBITAN MONOSTEARAT,133.32,10
C283500000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C28350,STEARYLIQUE ALCOOL,61.105,10
C250000000455119,455119,RESS_6000L_GOAVEC,B28068,DESOWEN LOT MS,C25000,METHYL PARABEN,4.444,10
C210550000455094,455094,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C21055,BENZYLIQUE ALCOOL PHARMA,22.44,10
C219000000455094,455094,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C21900,CIRE AE,127.5,10
C235500000455094,455094,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C23550,GLYCEROL,40.8,10
C242500000455094,455094,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C24250,ISOPROPYL PALMITATE,20.4,10
C244000000455094,455094,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C24400,LACTIQUE ACIDE 90%,0.408,10
C250200000455094,455094,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C25020,METRONIDAZOLE,7.65,10
C253000000455094,455094,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C25300,NA HYDROXYDE,0.0,10
C281000000455094,455094,RESS_1200L_GUERIN,B20075,METRONIDAZOLE 0.75% CRE,C28100,SORBITOL 70% NONCRIS,51.0,10
C231500000454932,454932,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C23150,EDTA DISODIUM,3.535,10
C230500000454932,454932,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C23050,DIOCTYL NA SULFOSUCC,1.8025,10
C235500000454932,454932,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C23550,GLYCEROL,141.4,10
C270500000454932,454932,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C27050,POLOXAMER 182,7.07,10
C273500000454932,454932,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C27350,PROPYLENE GLYCOL,142.8,10
C278500000454932,454932,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C27850,SILICE COLLOIDAL ANH,0.7461,10
C205000000454932,454932,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C20500,ACRYLATES COPOLYMER,71.05,10
C214600000454932,454932,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C21460,CARBOMER 940/POL 980,28.56,10
C210050000454932,454932,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C21005,BENZOYL PEROXYD HYD ARKEMA,241.4976,10
C253000000454932,454932,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C25300,NA HYDROXYDE,6.2475,10
C250000000456221,456221,RESS_1200L_GUERIN,B28051,DIFFERIN 0.1% GEL(HEL/FIN NVS),C25000,METHYL PARABEN,1.01,10
C273500000456221,456221,RESS_1200L_GUERIN,B28051,DIFFERIN 0.1% GEL(HEL/FIN NVS),C27350,PROPYLENE GLYCOL,40.4,10
C270500000456221,456221,RESS_1200L_GUERIN,B28051,DIFFERIN 0.1% GEL(HEL/FIN NVS),C27050,POLOXAMER 182,2.02,10
C270200000456221,456221,RESS_1200L_GUERIN,B28051,DIFFERIN 0.1% GEL(HEL/FIN NVS),C27020,PHENOXYETHANOL,2.525,10
C253000000456221,456221,RESS_1200L_GUERIN,B28051,DIFFERIN 0.1% GEL(HEL/FIN NVS),C25300,NA HYDROXYDE,1.616,10
C231500000456221,456221,RESS_1200L_GUERIN,B28051,DIFFERIN 0.1% GEL(HEL/FIN NVS),C23150,EDTA DISODIUM,1.01,10
C215260000456221,456221,RESS_1200L_GUERIN,B28051,DIFFERIN 0.1% GEL(HEL/FIN NVS),C21526,CARBOMER HOMOPOLYMER (TYPE C),11.22,10
C205430000456221,456221,RESS_1200L_GUERIN,B28051,DIFFERIN 0.1% GEL(HEL/FIN NVS),C20543,ADAPALENE FINORGA/HELSINN NVS,1.01,10
C250000000455118,455118,RESS_1200L_GUERIN,B27516,BRIMONIDINE 0.5% GEL MEDICHEM,C25000,METHYL PARABEN,1.02,10
C235500000455118,455118,RESS_1200L_GUERIN,B27516,BRIMONIDINE 0.5% GEL MEDICHEM,C23550,GLYCEROL,56.1,10
C214220000455118,455118,RESS_1200L_GUERIN,B27516,BRIMONIDINE 0.5% GEL MEDICHEM,C21422,CARBOMER934P/POL974P BRIMONDIN,12.75,10
C211470000455118,455118,RESS_1200L_GUERIN,B27516,BRIMONIDINE 0.5% GEL MEDICHEM,C21147,BRIMONIDINE NVS MEDICHEM,5.1,10
C253000000455118,455118,RESS_1200L_GUERIN,B27516,BRIMONIDINE 0.5% GEL MEDICHEM,C25300,NA HYDROXYDE,4.2126,10
C273500000455118,455118,RESS_1200L_GUERIN,B27516,BRIMONIDINE 0.5% GEL MEDICHEM,C27350,PROPYLENE GLYCOL,56.1,10
C270200000455118,455118,RESS_1200L_GUERIN,B27516,BRIMONIDINE 0.5% GEL MEDICHEM,C27020,PHENOXYETHANOL,4.08,10
C284800000455118,455118,RESS_1200L_GUERIN,B27516,BRIMONIDINE 0.5% GEL MEDICHEM,C28480,TITANE DIOXYDE,0.6375,10
C270500000454919,454919,RESS_6000L_GOAVEC,B24021,BENZAC AC 5% GEL (6T ARKEMA),C27050,POLOXAMER 182,12.24,10
C278500000454919,454919,RESS_6000L_GOAVEC,B24021,BENZAC AC 5% GEL (6T ARKEMA),C27850,SILICE COLLOIDAL ANH,1.2852,10
C273500000454919,454919,RESS_6000L_GOAVEC,B24021,BENZAC AC 5% GEL (6T ARKEMA),C27350,PROPYLENE GLYCOL,244.8,10
C210050000454919,454919,RESS_6000L_GOAVEC,B24021,BENZAC AC 5% GEL (6T ARKEMA),C21005,BENZOYL PEROXYD HYD ARKEMA,407.9592,10
C253000000454919,454919,RESS_6000L_GOAVEC,B24021,BENZAC AC 5% GEL (6T ARKEMA),C25300,NA HYDROXYDE,10.71,10
C235500000454919,454919,RESS_6000L_GOAVEC,B24021,BENZAC AC 5% GEL (6T ARKEMA),C23550,GLYCEROL,244.8,10
C231500000454919,454919,RESS_6000L_GOAVEC,B24021,BENZAC AC 5% GEL (6T ARKEMA),C23150,EDTA DISODIUM,6.12,10
C230500000454919,454919,RESS_6000L_GOAVEC,B24021,BENZAC AC 5% GEL (6T ARKEMA),C23050,DIOCTYL NA SULFOSUCC,3.06,10
C214600000454919,454919,RESS_6000L_GOAVEC,B24021,BENZAC AC 5% GEL (6T ARKEMA),C21460,CARBOMER 940/POL 980,48.96,10
C205000000454919,454919,RESS_6000L_GOAVEC,B24021,BENZAC AC 5% GEL (6T ARKEMA),C20500,ACRYLATES COPOLYMER,122.4,10
C282000000455111,455111,RESS_1200L_GUERIN,B25074,DIFFERIN 0.1% (HELS/FINO) CRE,C28200,SQUALANE NATUREL,60.6,10
C273000000455111,455111,RESS_1200L_GUERIN,B25074,DIFFERIN 0.1% (HELS/FINO) CRE,C27300,PROPYL PARABEN,1.01,10
C270200000455111,455111,RESS_1200L_GUERIN,B25074,DIFFERIN 0.1% (HELS/FINO) CRE,C27020,PHENOXYETHANOL,5.05,10
C264900000455111,455111,RESS_1200L_GUERIN,B25074,DIFFERIN 0.1% (HELS/FINO) CRE,C26490,PEG 20 METH GLU SESQ,35.35,10
C205430000455111,455111,RESS_1200L_GUERIN,B25074,DIFFERIN 0.1% (HELS/FINO) CRE,C20543,ADAPALENE FINORGA/HELSINN NVS,1.01,10
C250000000455111,455111,RESS_1200L_GUERIN,B25074,DIFFERIN 0.1% (HELS/FINO) CRE,C25000,METHYL PARABEN,2.02,10
C249500000455111,455111,RESS_1200L_GUERIN,B25074,DIFFERIN 0.1% (HELS/FINO) CRE,C24950,METHYL GLUCOSE SESQU,35.35,10
C231500000455111,455111,RESS_1200L_GUERIN,B25074,DIFFERIN 0.1% (HELS/FINO) CRE,C23150,EDTA DISODIUM,1.01,10
C227800000455111,455111,RESS_1200L_GUERIN,B25074,DIFFERIN 0.1% (HELS/FINO) CRE,C22780,CYCLOMETHICONE 5.97%,131.3,10
C214200000455111,455111,RESS_1200L_GUERIN,B25074,DIFFERIN 0.1% (HELS/FINO) CRE,C21420,CARBOMER934P/POL974P,4.545,10
C253000000455111,455111,RESS_1200L_GUERIN,B25074,DIFFERIN 0.1% (HELS/FINO) CRE,C25300,NA HYDROXYDE,1.616,10
C235500000455111,455111,RESS_1200L_GUERIN,B25074,DIFFERIN 0.1% (HELS/FINO) CRE,C23550,GLYCEROL,30.3,10
C205000000454936,454936,RESS_1200L_GOAVEC,B28020,BENZAC AC 2.5% GEL 1T,C20500,ACRYLATES COPOLYMER,20.4,10
C278500000454936,454936,RESS_1200L_GOAVEC,B28020,BENZAC AC 2.5% GEL 1T,C27850,SILICE COLLOIDAL ANH,0.2142,10
C273500000454936,454936,RESS_1200L_GOAVEC,B28020,BENZAC AC 2.5% GEL 1T,C27350,PROPYLENE GLYCOL,40.8,10
C270500000454936,454936,RESS_1200L_GOAVEC,B28020,BENZAC AC 2.5% GEL 1T,C27050,POLOXAMER 182,2.04,10
C253000000454936,454936,RESS_1200L_GOAVEC,B28020,BENZAC AC 2.5% GEL 1T,C25300,NA HYDROXYDE,1.734,10
C235500000454936,454936,RESS_1200L_GOAVEC,B28020,BENZAC AC 2.5% GEL 1T,C23550,GLYCEROL,40.8,10
C231500000454936,454936,RESS_1200L_GOAVEC,B28020,BENZAC AC 2.5% GEL 1T,C23150,EDTA DISODIUM,1.02,10
C230500000454936,454936,RESS_1200L_GOAVEC,B28020,BENZAC AC 2.5% GEL 1T,C23050,DIOCTYL NA SULFOSUCC,0.51,10
C214600000454936,454936,RESS_1200L_GOAVEC,B28020,BENZAC AC 2.5% GEL 1T,C21460,CARBOMER 940/POL 980,8.16,10
C210050000454936,454936,RESS_1200L_GOAVEC,B28020,BENZAC AC 2.5% GEL 1T,C21005,BENZOYL PEROXYD HYD ARKEMA,33.966,10
C270460000455108,455108,RESS_4000L,B24324,ADAPALENE/BPO (MS) COMBO WW GE,C27046,POLOXAMER 124 PE,8.08,11
C235500000455108,455108,RESS_4000L,B24324,ADAPALENE/BPO (MS) COMBO WW GE,C23550,GLYCEROL,161.6,11
C231500000455108,455108,RESS_4000L,B24324,ADAPALENE/BPO (MS) COMBO WW GE,C23150,EDTA DISODIUM,4.04,11
C230500000455108,455108,RESS_4000L,B24324,ADAPALENE/BPO (MS) COMBO WW GE,C23050,DIOCTYL NA SULFOSUCC,2.02,11
C210200000455108,455108,RESS_4000L,B24324,ADAPALENE/BPO (MS) COMBO WW GE,C21020,BENZOYL PEROXYD HYD EPID F MS,141.4,11
C273500000455108,455108,RESS_4000L,B24324,ADAPALENE/BPO (MS) COMBO WW GE,C27350,PROPYLENE GLYCOL,161.6,11
C205430000455108,455108,RESS_4000L,B24324,ADAPALENE/BPO (MS) COMBO WW GE,C20543,ADAPALENE FINORGA/HELSINN NVS,4.04,11
C203000000455108,455108,RESS_4000L,B24324,ADAPALENE/BPO (MS) COMBO WW GE,C20300,ACRYLAMIDE COPOLYMER,161.6,11
C253000000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C25300,NA HYDROXYDE,29.29,11
C280000000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C28000,SORBITAN MONOSTEARAT,20.2,11
C273500000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C27350,PROPYLENE GLYCOL,20.2,11
C242500000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C24250,ISOPROPYL PALMITATE,40.4,11
C242670000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C24267,IVERMECTINE HOVIONE,11.22,11
C250000000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C25000,METHYL PARABEN,2.02,11
C256300000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C25630,OLEIQUE ALCOOL,20.2,11
C283500000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C28350,STEARYLIQUE ALCOOL,25.25,11
C270200000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C27020,PHENOXYETHANOL,10.1,11
C231500000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C23150,EDTA DISODIUM,0.505,11
C229800000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C22980,DIMETICONE 20 CST,5.05,11
C219900000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C21990,CITRIQUE ACIDE MONOHYDRATE,0.505,11
C217000000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C21700,CETYLIQUE ALCOOL,35.35,11
C215800000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C21580,CETEARETH-20 EP,30.3,11
C215350000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C21535,CARBOMER1342/PEM TR1 USP,2.02,11
C273000000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C27300,PROPYL PARABEN,1.01,11
C235500000456419,456419,RESS_1200L_GOAVEC,B27414,IVERMECTIN 1% CRE,C23550,GLYCEROL,40.4,11
C250000000455106,455106,RESS_1200L_GUERIN,B20516,BRIMONIDINE TARTRATE 0.5% GEL,C25000,METHYL PARABEN,1.02,11
C215250000455100,455100,RESS_6000L_GOAVEC,B20079,METRONIDAZOLE 0.75% NF GEL,C21525,CARBOMER 980,19.695,11
C231500000455100,455100,RESS_6000L_GOAVEC,B20079,METRONIDAZOLE 0.75% NF GEL,C23150,EDTA DISODIUM,1.515,11
C250000000455100,455100,RESS_6000L_GOAVEC,B20079,METRONIDAZOLE 0.75% NF GEL,C25000,METHYL PARABEN,2.424,11
C250200000455100,455100,RESS_6000L_GOAVEC,B20079,METRONIDAZOLE 0.75% NF GEL,C25020,METRONIDAZOLE,22.725,11
C253000000455100,455100,RESS_6000L_GOAVEC,B20079,METRONIDAZOLE 0.75% NF GEL,C25300,NA HYDROXYDE,2.424,11
C273000000455100,455100,RESS_6000L_GOAVEC,B20079,METRONIDAZOLE 0.75% NF GEL,C27300,PROPYL PARABEN,0.606,11
C273500000455100,455100,RESS_6000L_GOAVEC,B20079,METRONIDAZOLE 0.75% NF GEL,C27350,PROPYLENE GLYCOL,90.9,11
C211460000455106,455106,RESS_1200L_GUERIN,B20516,BRIMONIDINE TARTRATE 0.5% GEL,C21146,BRIMONIDINE TAR NEW DMF MS,5.1,11
C214220000455106,455106,RESS_1200L_GUERIN,B20516,BRIMONIDINE TARTRATE 0.5% GEL,C21422,CARBOMER934P/POL974P BRIMONDIN,12.75,11
C253000000455106,455106,RESS_1200L_GUERIN,B20516,BRIMONIDINE TARTRATE 0.5% GEL,C25300,NA HYDROXYDE,4.2126,11
C235500000455106,455106,RESS_1200L_GUERIN,B20516,BRIMONIDINE TARTRATE 0.5% GEL,C23550,GLYCEROL,56.1,11
C270200000455106,455106,RESS_1200L_GUERIN,B20516,BRIMONIDINE TARTRATE 0.5% GEL,C27020,PHENOXYETHANOL,4.08,11
C273500000455106,455106,RESS_1200L_GUERIN,B20516,BRIMONIDINE TARTRATE 0.5% GEL,C27350,PROPYLENE GLYCOL,56.1,11
C284800000455106,455106,RESS_1200L_GUERIN,B20516,BRIMONIDINE TARTRATE 0.5% GEL,C28480,TITANE DIOXYDE,0.6375,11
C231500000454930,454930,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C23150,EDTA DISODIUM,3.535,11
C230500000454930,454930,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C23050,DIOCTYL NA SULFOSUCC,1.8025,11
C214600000454930,454930,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C21460,CARBOMER 940/POL 980,28.56,11
C210050000454930,454930,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C21005,BENZOYL PEROXYD HYD ARKEMA,241.4976,11
C205000000454930,454930,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C20500,ACRYLATES COPOLYMER,71.05,11
C270500000454930,454930,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C27050,POLOXAMER 182,7.07,11
C273500000454930,454930,RESS_6000L_GOAVEC,B27021,BENZAC AC 5% GEL (ARKEMA 3500k,C27350,PROPYLENE GLYCOL,142.8,11
